"ID","ID_litter","Size","litt_size","sex","group","IgGJ2","TPI","Died","Diarr","Age_D1","AgeD2","hospit","InfCroissPed","InfCroiss4","InfCroiss5","InfCroiss6","InfCroiss7","InfCroiss8","Min1inflcr","TRD21","TRD22","TRD23","TRD24","TRD25","TRD26","TRD27","TRD28","TRD29","TRD30","TRD31","TRD32","TRD33","TRD34","TRD35","TRD36","TRD37","TRD38","TRD39","TRD40","TRD41","TRD42","TRD43","TRD44","TRD45","TRD46","TRD47","TRD48","TRD49","TRD50","TRD51","TRD52","TRD53","TRD54","TRD55","TRD56"
"L7D","7","L","5","M","C","NA","NA","0","1","35","56","0","0","0","0","0","0","1","1","36.8","37.6","37.2","36.7","37.3","37.8","37.8","37.8","37.8","38.0","37.8","38.2","38.1","38.0","38.1","38.0","38.1","38.4","38.1","38.2","38.1","38.3","38.4","38.1","38.1","38.1","39.3","38.0","38.4","38.3","38.2","38.5","38.9","38.9","38.1","38.5"
"L7E","7","L","5","NA","L","NA","NA","0","1","59","NA","1","1","0","0","0","1","0","1","37.3","37.4","37.0","37.3","37.1","37.9","38.1","38.2","38.6","38.1","38.0","38.0","37.8","38.0","38.4","37.9","38.1","38.4","38.4","38.6","38.2","38.8","38.4","38.5","38.6","38.7","38.8","37.4","38.1","38.3","38.5","38.5","38.6","38.7","38.2","38.5"
"L8A","8","S","2","M","C","NA","NA","0","0","NA","NA","0","0","1","0","0","0","0","1","37.0","37.3","37.7","37.7","37.4","38.2","37.4","37.9","37.6","38.0","37.7","37.8","38.0","37.8","38.1","37.0","37.8","37.8","38.2","37.8","37.9","38.4","38.2","38.2","38.3","38.2","38.7","37.8","37.3","38.1","38.0","38.3","38.4","38.4","38.6","38.9"
"L8B","8","S","2","F","L","NA","NA","0","0","NA","NA","0","0","0","0","0","1","0","1","37.7","37.2","37.7","37.4","37.2","37.6","37.4","37.8","37.4","37.8","37.8","37.6","37.7","37.5","38.0","37.9","37.7","37.5","38.2","37.9","38.1","38.4","NA","38.1","38.3","37.9","38.6","37.4","37.3","37.6","38.1","38.6","38.2","38.2","38.2","39.1"
"L9A","9","S","4","F","L","NA","NA","0","0","NA","NA","0","1","0","1","0","0","0","1","37.0","36.6","37.4","37.6","37.3","37.9","37.8","37.6","37.8","37.8","37.8","37.5","37.9","37.9","38.8","37.9","37.7","38.0","37.7","38.2","37.6","37.9","38.1","38.4","37.9","37.8","38.1","37.7","38.2","38.3","38.2","38.2","39.2","38.2","38.3","38.3"
"L9B","9","S","4","M","C","NA","NA","0","0","NA","NA","0","0","0","0","0","0","0","0","37.3","37.4","37.8","37.6","37.6","37.8","37.6","37.8","38.1","37.7","38.2","37.9","38.0","37.6","38.1","37.9","37.9","38.0","37.9","35.1","38.0","37.9","38.1","38.5","38.2","37.7","37.9","37.9","37.9","38.4","38.2","38.4","38.5","38.3","38.3","38.8"
"L9C","9","S","4","F","C","NA","NA","0","1","53","NA","0","0","0","0","0","0","0","0","36.1","37.3","37.0","37.5","36.8","37.8","37.9","37.4","38.0","38.0","37.6","37.7","37.9","37.9","38.0","37.8","38.2","38.0","38.1","37.7","38.0","38.3","38.0","38.0","38.2","37.9","37.9","38.2","38.1","38.1","38.1","38.8","38.7","38.4","38.3","38.0"
"L9D","9","S","4","NA","L","NA","NA","0","1","54","NA","0","0","0","0","0","0","0","0","37.3","37.1","37.7","37.8","37.6","37.9","37.8","37.6","37.9","37.6","38.0","37.7","38.0","38.0","38.2","38.2","38.2","38.0","38.1","NA","38.1","38.2","38.2","38.2","38.4","38.1","38.0","38.0","38.5","38.2","38.3","38.0","38.9","38.6","38.1","38.3"
"L10A","10","L","6","F","L","NA","NA","0","0","NA","NA","0","0","0","0","0","0","0","0","37.5","37.6","37.1","38.1","37.6","37.7","37.9","37.7","38.1","38.0","38.0","38.1","38.2","38.1","38.2","38.3","38.1","38.5","38.5","38.2","38.2","38.1","39.4","38.5","38.4","38.3","38.3","38.0","38.2","38.4","38.3","38.5","38.4","38.6","38.1","38.2"
"L10B","10","L","6","F","C","NA","NA","0","0","NA","NA","0","0","0","0","0","0","0","0","37.3","37.1","37.5","37.9","37.7","37.9","37.8","37.9","37.8","37.8","38.0","38.4","38.3","38.0","37.9","38.5","38.1","38.3","38.3","38.3","38.7","38.2","38.3","38.6","39.0","38.1","38.1","38.0","38.2","38.2","37.8","38.8","38.2","38.5","38.4","38.9"
